video_link,hits,updated_time,title,img_link,play_time
https://www.youtube.com/watch?v=6THDdQcNerM,21434,1 week ago,BWB Europe All Access: Israel,https://i.ytimg.com/vi/6THDdQcNerM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBMAQ2K4bz1QZM92EQ7ouKxsiB5yw,1:43
https://www.youtube.com/watch?v=XZNHcHfPrGQ,11243,1 week ago,Remembering Tommy Hawkins,https://i.ytimg.com/vi/XZNHcHfPrGQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA_ZkYdmecYqcZdGf3c8Pc6q8VxIw,0:58
https://www.youtube.com/watch?v=sO56CyHI5ek,261180,1 week ago,LeBron James BEST PLAY EVERY GAME | 2016-2017 Season,https://i.ytimg.com/vi/sO56CyHI5ek/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC4I95EedHP-MRkoXR76_H8ljH-eQ,23:11
https://www.youtube.com/watch?v=M5lGZdBO2tU,86040,1 week ago,Andrew Wiggins' Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/M5lGZdBO2tU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDoP915I5wYidi5STUA65f2oPSq1Q,2:28
https://www.youtube.com/watch?v=E4aCgUxBreA,124677,1 week ago,John Wall's Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/E4aCgUxBreA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD6Kkzop1yi7Jj001mQglvLkm2vjg,2:26
https://www.youtube.com/watch?v=xTJcASRxbfI,411171,1 week ago,Stephen Curry BEST PLAY EVERY GAME | 2016-2017 Season,https://i.ytimg.com/vi/xTJcASRxbfI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA2-AkQW85xMHkj4jL6YYMMhOzOAA,22:23
https://www.youtube.com/watch?v=LcGlkBO7wWY,122513,1 week ago,James Harden's Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/LcGlkBO7wWY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAZM8FrqLjpobKRe7cNOBTjZLsXsQ,2:35
https://www.youtube.com/watch?v=2jnAMkqtTF0,85770,1 week ago,Anthony Davis' Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/2jnAMkqtTF0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAtRUjB3JnBfQZ_JkDy1TysjRfL8g,2:08
https://www.youtube.com/watch?v=BgPinqi2jwU,215164,1 week ago,Top 10 Ball Fakes: 2017 NBA Season,https://i.ytimg.com/vi/BgPinqi2jwU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD77LpN7diO49miiv-cMIlAG_DkkA,2:30
https://www.youtube.com/watch?v=Fd8rWIFlQ1o,117276,1 week ago,Top 10 360 Plays: 2017 NBA Season,https://i.ytimg.com/vi/Fd8rWIFlQ1o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDWHEJ-BHX-Yfi9vTY58m7SZtBMuA,2:28
https://www.youtube.com/watch?v=eaGNarhkRsQ,201231,1 week ago,Russell Westbrook BEST PLAY EVERY GAME | MVP Season 2016-2017,https://i.ytimg.com/vi/eaGNarhkRsQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDv4QLg8N9bs6mlYs2NpndZKwZ46Q,21:21
https://www.youtube.com/watch?v=1QxI6IeGrzQ,65962,1 week ago,All-Access: 2017 NBA Rookie Photo Shoot,https://i.ytimg.com/vi/1QxI6IeGrzQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLABdpzDnj_XSD0CBhFqJvWBqdGLlw,1:35
https://www.youtube.com/watch?v=Pd7AsnmDk0w,124125,2 weeks ago,"Lonzo Ball, Markelle Fultz and the 2017 Rookie Class Show Off Nike's New Uniforms",https://i.ytimg.com/vi/Pd7AsnmDk0w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaia9v3XhuA0tYdH8Q2rantldiKw,3:51
